No.,Lokasi,tanggal,Minyak_Goreng_Kemasan,Minyak_Goreng_Curah,Kelapa_Sawit
334,Jawa Timur,3/20/2023,16.98,15.17,2016
335,Jawa Timur,3/21/2023,17.09,15.18,1972
336,Jawa Timur,3/22/2023,16.96,15.1,2006
337,Jawa Timur,3/23/2023,17.19,15.09,1992
338,Jawa Timur,3/24/2023,17.09,15.2,2001
339,Jawa Timur,3/25/2023,17.11,15.24,1986
340,Jawa Timur,3/26/2023,17.22,15.18,1963
341,Jawa Timur,3/27/2023,17.11,15.17,1963
342,Jawa Timur,3/28/2023,17,15.13,1954
343,Jawa Timur,3/29/2023,16.92,15.09,1949
344,Jawa Timur,3/30/2023,17.02,15.13,1944
345,Jawa Timur,3/31/2023,16.78,15.01,1953
346,Jawa Timur,4/1/2023,17.02,14.96,1928
347,Jawa Timur,4/2/2023,16.96,14.96,1926
348,Jawa Timur,4/3/2023,16.93,14.96,1913
349,Jawa Timur,4/4/2023,17,14.96,1919
350,Jawa Timur,4/5/2023,16.93,15.04,1924
351,Jawa Timur,4/6/2023,16.83,15.05,1922
352,Jawa Timur,4/7/2023,16.91,15.02,1921
353,Jawa Timur,4/8/2023,16.99,14.93,1923
354,Jawa Timur,4/9/2023,17.01,14.92,1934
355,Jawa Timur,4/10/2023,16.77,14.93,1923
356,Jawa Timur,4/11/2023,16.87,15.06,1922
357,Jawa Timur,4/12/2023,16.93,14.97,1919
358,Jawa Timur,4/13/2023,16.97,15.01,1907
359,Jawa Timur,4/14/2023,16.86,15,1890
360,Jawa Timur,4/15/2023,16.8,14.92,1874
361,Jawa Timur,4/16/2023,16.91,15.08,1872
362,Jawa Timur,4/17/2023,16.86,15,1820
363,Jawa Timur,4/18/2023,16.98,15.04,1813
364,Jawa Timur,4/19/2023,16.97,15.04,1791
365,Jawa Timur,4/20/2023,16.88,15.05,1787
366,Jawa Timur,4/21/2023,16.93,15.14,1765
367,Jawa Timur,4/22/2023,17.64,15.26,1769
368,Jawa Timur,4/23/2023,17.34,15.22,1765
369,Jawa Timur,4/24/2023,16.95,15.05,1755
370,Jawa Timur,4/25/2023,16.89,14.84,1745
371,Jawa Timur,4/26/2023,16.57,14.95,1786
372,Jawa Timur,4/27/2023,16.68,15.14,1775
373,Jawa Timur,4/28/2023,16.76,14.95,1751
374,Jawa Timur,4/29/2023,16.91,14.88,1761
375,Jawa Timur,4/30/2023,16.73,14.93,1758
376,Jawa Timur,5/1/2023,16.67,14.78,1679
377,Jawa Timur,5/2/2023,16.8,14.86,1668
378,Jawa Timur,5/3/2023,16.71,14.85,1662
379,Jawa Timur,5/4/2023,16.69,15,1664
380,Jawa Timur,5/5/2023,16.69,15.02,1658
381,Jawa Timur,5/6/2023,16.79,14.99,1661
382,Jawa Timur,5/7/2023,16.8,14.95,1660
383,Jawa Timur,5/8/2023,16.58,14.95,1651
384,Jawa Timur,5/9/2023,16.58,14.96,1649
385,Jawa Timur,5/10/2023,16.77,14.91,1640
386,Jawa Timur,5/11/2023,16.56,14.93,1634
387,Jawa Timur,5/12/2023,16.54,14.93,1638
388,Jawa Timur,5/13/2023,16.57,14.93,1639
389,Jawa Timur,5/14/2023,16.52,15.1,1624
390,Jawa Timur,5/15/2023,16.51,15.02,1629
391,Jawa Timur,5/16/2023,16.51,15.08,1631
392,Jawa Timur,5/17/2023,16.64,15.01,1643
393,Jawa Timur,5/18/2023,16.52,15.05,1631
394,Jawa Timur,5/19/2023,16.68,15.16,1621
395,Jawa Timur,5/20/2023,16.79,15.05,1638
396,Jawa Timur,5/21/2023,16.52,14.92,1623
397,Jawa Timur,5/22/2023,16.51,14.95,1610
398,Jawa Timur,5/23/2023,16.47,14.87,1602
399,Jawa Timur,5/24/2023,16.62,14.99,1596
400,Jawa Timur,5/25/2023,16.58,14.96,1594
401,Jawa Timur,5/26/2023,16.59,15,1598
402,Jawa Timur,5/27/2023,16.6,15.01,1600
403,Jawa Timur,5/28/2023,16.51,14.9,1586
404,Jawa Timur,5/29/2023,16.56,14.89,1577
405,Jawa Timur,5/30/2023,16.56,14.96,1590
406,Jawa Timur,5/31/2023,16.59,14.89,1581
407,Jawa Timur,6/1/2023,16.51,14.94,1569
408,Jawa Timur,6/2/2023,16.51,14.89,1572
409,Jawa Timur,6/3/2023,16.67,14.88,1571
410,Jawa Timur,6/4/2023,16.42,14.79,1561
411,Jawa Timur,6/5/2023,16.55,14.78,1553
412,Jawa Timur,6/6/2023,16.57,14.91,1554
413,Jawa Timur,6/7/2023,16.55,14.95,1546
414,Jawa Timur,6/8/2023,16.61,14.92,1548
415,Jawa Timur,6/9/2023,16.56,14.83,1537
416,Jawa Timur,6/10/2023,16.38,14.78,1542
417,Jawa Timur,6/11/2023,16.44,14.9,1538
418,Jawa Timur,6/12/2023,16.49,14.94,1539
419,Jawa Timur,6/13/2023,16.61,14.88,1538
420,Jawa Timur,6/14/2023,16.65,14.89,1538
421,Jawa Timur,6/15/2023,16.59,14.97,1551
422,Jawa Timur,6/16/2023,16.71,14.9,1551
423,Jawa Timur,6/17/2023,16.61,14.89,1551
424,Jawa Timur,6/18/2023,16.57,14.9,1545
425,Jawa Timur,6/19/2023,16.64,14.89,1543
426,Jawa Timur,6/20/2023,16.58,14.84,1542
427,Jawa Timur,6/21/2023,16.68,14.79,1550
428,Jawa Timur,6/22/2023,16.58,14.84,1558
429,Jawa Timur,6/23/2023,16.6,14.87,2002
430,Jawa Timur,6/24/2023,16.62,14.95,1560
431,Jawa Timur,6/25/2023,16.56,14.9,1550
432,Jawa Timur,6/26/2023,16.57,14.91,1552
433,Jawa Timur,6/27/2023,16.52,14.91,1557
434,Jawa Timur,6/28/2023,16.5,14.94,1563
435,Jawa Timur,6/29/2023,16.54,14.97,1561
436,Jawa Timur,6/30/2023,16.55,14.9,1561
437,Jawa Timur,7/1/2023,16.47,14.94,1613
438,Jawa Timur,7/2/2023,16.51,14.86,1614
439,Jawa Timur,7/3/2023,16.53,14.87,1611
440,Jawa Timur,7/4/2023,16.44,14.88,1618
441,Jawa Timur,7/5/2023,16.57,14.92,1618
442,Jawa Timur,7/6/2023,16.61,14.95,1618
443,Jawa Timur,7/7/2023,16.51,14.93,1619
444,Jawa Timur,7/8/2023,16.55,14.91,1627
445,Jawa Timur,7/9/2023,16.52,14.9,1622
446,Jawa Timur,7/10/2023,16.55,14.96,1625
447,Jawa Timur,7/11/2023,16.44,14.85,1625
448,Jawa Timur,7/12/2023,16.47,14.99,1633
449,Jawa Timur,7/13/2023,16.5,14.9,1633
450,Jawa Timur,7/14/2023,16.49,14.74,1633
451,Jawa Timur,7/15/2023,16.56,14.81,1637
452,Jawa Timur,7/16/2023,16.61,14.91,1631
453,Jawa Timur,7/17/2023,16.53,14.81,1650
454,Jawa Timur,7/18/2023,16.55,14.79,1645
455,Jawa Timur,7/19/2023,16.59,14.83,1647
456,Jawa Timur,7/20/2023,16.59,14.83,1647
457,Jawa Timur,7/21/2023,16.5,14.88,1651
458,Jawa Timur,7/22/2023,16.54,14.84,1650
459,Jawa Timur,7/23/2023,16.59,14.76,2276
460,Jawa Timur,7/24/2023,16.49,14.93,1654
461,Jawa Timur,7/25/2023,16.56,14.78,1651
462,Jawa Timur,7/26/2023,16.58,14.79,1658
463,Jawa Timur,7/27/2023,16.56,14.85,1651
464,Jawa Timur,7/28/2023,16.45,14.79,1646
465,Jawa Timur,7/29/2023,16.57,14.78,1661
466,Jawa Timur,7/30/2023,16.67,14.75,1662
467,Jawa Timur,7/31/2023,16.6,14.79,1667
468,Jawa Timur,8/1/2023,16.58,14.82,1666
469,Jawa Timur,8/2/2023,16.39,14.82,1667
470,Jawa Timur,8/3/2023,16.52,14.8,1660
471,Jawa Timur,8/4/2023,16.49,14.72,1668
472,Jawa Timur,8/5/2023,16.56,14.79,1661
473,Jawa Timur,8/6/2023,16.58,14.73,1656
474,Jawa Timur,8/7/2023,16.62,14.82,1664
475,Jawa Timur,8/8/2023,16.47,14.82,1669
476,Jawa Timur,8/9/2023,16.59,14.77,1676
477,Jawa Timur,8/10/2023,16.53,14.86,1669
478,Jawa Timur,8/11/2023,16.46,14.72,1669
479,Jawa Timur,8/12/2023,16.61,14.78,1670
480,Jawa Timur,8/13/2023,16.37,14.71,1666
481,Jawa Timur,8/14/2023,16.49,14.7,1671
482,Jawa Timur,8/15/2023,16.49,14.74,1673
483,Jawa Timur,8/16/2023,16.58,14.83,1679
484,Jawa Timur,8/17/2023,16.17,14.66,1691
485,Jawa Timur,8/18/2023,16.45,14.81,1682
486,Jawa Timur,8/19/2023,16.4,14.72,1703
487,Jawa Timur,8/20/2023,16.63,14.77,1683
488,Jawa Timur,8/21/2023,16.52,14.78,1693
489,Jawa Timur,8/22/2023,16.46,14.83,1703
490,Jawa Timur,8/23/2023,16.47,14.85,1704
491,Jawa Timur,8/24/2023,16.4,14.9,1714
492,Jawa Timur,8/25/2023,16.45,14.77,1718
493,Jawa Timur,8/26/2023,16.54,14.82,1711
494,Jawa Timur,8/27/2023,16.28,14.69,1709
495,Jawa Timur,8/28/2023,16.38,14.83,1720
496,Jawa Timur,8/29/2023,16.42,14.73,1723
497,Jawa Timur,8/30/2023,16.34,14.64,1769
